Jobbágyi;19
Jósvafő;6
Juta;17
Kaba;20
Kacorlak;15
Kács;6
Kacsóta;4
Kadarkút;17
Kajárpéc;7
Kajászó;2
Kajdacs;18
Kakasd;18
Kákics;4
Kakucs;8
Kál;5
Kalaznó;18
Káld;9
Kálló;19
Kallósd;15
Kállósemjén;11
Kálmáncsa;17
Kálmánháza;11
Kálócfa;15
Kalocsa;13
Káloz;2
Kám;9
Kamond;10
Kamut;16
Kánó;6
Kántorjánosi;11
Kány;6
Kánya;17
Kányavár;15
Kapolcs;10
Kápolna;5
Kápolnásnyék;2
Kapoly;17
Kaposfő;17
Kaposgyarmat;17
Kaposhomok;17
Kaposkeresztúr;17
Kaposmérő;17
Kapospula;18
Kaposszekcső;18
Kaposszerdahely;17
Kaposújlak;17
Kaposvár;17
Káptalanfa;10
Káptalantóti;10
Kapuvár;7
Kára;17
Karácsond;5
Karád;17
Karakó;9
Karakószörcsök;10
Karancsalja;19
Karancsberény;19
Karancskeszi;19
Karancslapujtő;19
Karancsság;19
Kárász;4
Karcag;3
Karcsa;6
Kardos;16
Kardoskút;16
Karmacs;15
Károlyháza;7
Karos;6
Kartal;8
Kásád;4
Kaskantyú;13
Kastélyosdombó;17
Kaszaper;16
Kaszó;17
Katádfa;4
Katafa;9
Kátoly;4
Katymár;13
Káva;8
Kávás;15
Kazár;19
Kazincbarcika;6
Kázsmárk;6
Kazsok;17
Kecel;13
Kecskéd;12
Kecskemét;13
Kehidakustány;15
Kék;11
Kékcse;11
Kéked;6
Kékesd;4
Kékkút;10
Kelebia;13
Keléd;9
Kelemér;6
Kéleshalom;13
Kelevíz;17
Kemecse;11
Kemence;8
Kemendollár;15
Kemeneshőgyész;10
Kemeneskápolna;9
Kemenesmagasi;9
Kemenesmihályfa;9
Kemenespálfa;9
Kemenessömjén;9
Kemenesszentmárton;9
Kemenesszentpéter;10
Keménfa;15
Kémes;4
Kemestaródfa;9
Kemse;4
Kenderes;3
Kenéz;9
Kenézlő;6
Kengyel;3
Kenyeri;9
Kercaszomor;9
Kercseliget;17
Kerecsend;5
Kerecseny;15
Kerekegyháza;13
Kerekharaszt;5
Kereki;17
Kerékteleki;12
Kerepes;8
Keresztéte;6
Kerkabarabás;15
Kerkafalva;15
Kerkakutas;15
Kerkáskápolna;9
Kerkaszentkirály;15
Kerkateskánd;15
Kérsemjén;11
Kerta;10
Kertészsziget;16
Keszeg;19
Kesznyéten;6
Keszőhidegkút;18
Keszthely;15
Kesztölc;12
Keszü;4
Kétbodony;19
Kétegyháza;16
Kéthely;17
Kétpó;3
Kétsoprony;16
Kétújfalu;4
Kétvölgy;9
Kéty;18
Kevermes;16
Kilimán;15
Kimle;7
Kincsesbánya;2
Királd;6
Királyegyháza;4
Királyhegyes;14
Királyszentistván;10
Kisapáti;10
Kisapostag;2
Kisar;11
Kisasszond;17
Kisasszonyfa;4
Kisbabot;7
Kisbágyon;19
Kisbajcs;7
Kisbajom;17
Kisbárapáti;17
Kisbárkány;19
Kisbér;12
Kisberény;17
Kisberzseny;10
Kisbeszterce;4
Kisbodak;7
Kisbucsa;15
Kisbudmér;4
Kiscsécs;6
Kiscsehi;15
Kiscsősz;10
Kisdér;4
Kisdobsza;4
Kisdombegyház;16
Kisdorog;18
Kisecset;19
Kisfalud;7
Kisfüzes;5
Kisgörbő;15
Kisgyalán;17
Kisgyőr;6
Kishajmás;4
Kisharsány;4
Kishartyán;19
Kisherend;4
Kishódos;11
Kishuta;6
Kisigmánd;12
Kisjakabfalva;4
Kiskassa;4
Kiskinizs;6
Kiskorpád;17
Kisköre;5
Kiskőrös;13
Kiskunfélegyháza;13
Kiskunhalas;13
Kiskunlacháza;8
Kiskunmajsa;13
Kiskutas;15
Kisláng;2
Kisléta;11
Kislippó;4
Kislőd;10
Kismányok;18
Kismarja;20
Kismaros;8
Kisnamény;11
Kisnána;5
Kisnémedi;8
Kisnyárád;4
Kisoroszi;8
Kispalád;11
Kispáli;15
Kispirit;10
Kisrákos;9
Kisrécse;15
Kisrozvágy;6
Kissikátor;6
Kissomlyó;9
Kisszállás;13
Kisszékely;18
Kisszekeres;11
Kisszentmárton;4
Kissziget;15
Kisszőlős;10
Kistamási;4
Kistapolca;4
Kistarcsa;8
Kistelek;14
Kistokaj;6
Kistolmács;15
Kistormás;18
Kistótfalu;4
Kisújszállás;3
Kisunyom;9
Kisvárda;11
Kisvarsány;11
Kisvásárhely;15
Kisvaszar;4
Kisvejke;18
Kiszombor;14
Kiszsidány;9
Klárafalva;14
Kocs;12
Kocsér;8
Kocsola;18
Kocsord;11
Kóka;8
Kokad;20
Kolontár;10
Komádi;20
Komárom;12
Komjáti;6
Komló;4
Komlódtótfalu;11
Komlósd;17
Komlóska;6
Komoró;11
Kompolt;5
Kondó;6
Kondorfa;9
Kondoros;16
Kóny;7
Konyár;20
Kópháza;7
Koppányszántó;18
Korlát;6
Koroncó;7
Kórós;4
Kosd;8
Kóspallag;8
Kótaj;11
Kovácshida;4
Kovácsszénája;4
Kovácsvágás;6
Kozárd;19
Kozármisleny;4
Kozmadombja;15
Köblény;4
Köcsk;9
Kökény;4
Kőkút;17
Kölcse;11
Kölesd;18
Kölked;4
Kömlő;5
Kömlőd;12
Kömörő;11
Kömpöc;13
Körmend;9
Környe;12
Köröm;6
Kőröshegy;17
Körösladány;16
Körösnagyharsány;16
Körösszakál;20
Körösszegapáti;20
Köröstarcsa;16
Kőröstetétlen;8
Körösújfalu;16
Kőszárhegy;2
Kőszeg;9
Kőszegdoroszló;9
Kőszegpaty;9
Kőszegszerdahely;9
Kötcse;17
Kötegyán;16
Kőtelek;3
Kővágóörs;10
Kővágószőlős;4
Kővágótöttös;4
Kövegy;14
Köveskál;10
Krasznokvajda;6
Kulcs;2
Kunadacs;13
Kunágota;16
Kunbaja;13
Kunbaracs;13
Kuncsorba;3
Kunfehértó;13
Kunhegyes;3
Kunmadaras;3
Kunpeszér;13
Kunszállás;13
Kunszentmárton;3
Kunszentmiklós;13
Kunsziget;7
Kup;10
Kupa;6
Kurd;18
Kurityán;6
Kustánszeg;15
Kutas;17
Kutasó;19
Kübekháza;14
Külsősárd;15
Külsővat;10
Küngös;10
Lábatlan;12
Lábod;17
Lácacséke;6
Lad;17
Ladánybene;13
Ládbesenyő;6
Lajoskomárom;2
Lajosmizse;13
Lak;6
Lakhegy;15
Lakitelek;13
Lakócsa;17
Lánycsók;4
Lápafő;18
Lapáncsa;4
Laskod;11
Lasztonya;15
Látrány;17
Lázi;7
Leányfalu;8
Leányvár;12
Lébény;7
Legénd;19
Legyesbénye;6
Léh;6
Lénárddaróc;6
Lendvadedes;15
Lendvajakabfa;15
Lengyel;18
Lengyeltóti;17
Lenti;15
Lepsény;2
Lesencefalu;10
Lesenceistvánd;10
Lesencetomaj;10
Létavértes;20
Letenye;15
Letkés;8
Levél;7
Levelek;11
Libickozma;17
Lickóvadamos;15
Liget;4
Ligetfalva;15
Lipót;7
Lippó;4
Liptód;4
Lispeszentadorján;15
Liszó;15
Litér;10
Litka;6
Litke;19
Lócs;9
Lókút;10
Lónya;11
Lórév;8
Lothárd;4
Lovas;10
Lovasberény;2
Lovászhetény;4
Lovászi;15
Lovászpatona;10
Lőkösháza;16
Lőrinci;5
Lövő;7
Lövőpetri;11
Lucfalva;19
Ludányhalászi;19
Ludas;5
Lukácsháza;9
Lulla;17
Lúzsok;4
Mád;6
Madaras;13
Madocsa;18
Maglóca;7
Maglód;8
Mágocs;4
Magosliget;11
Magy;11
Magyaralmás;2
Magyaratád;17
Magyarbánhegyes;16
Magyarbóly;4
